,commit_nb,pull_request,issue
2015-06-01 00:00:01,8,0,0
2015-07-01 00:00:01,2,0,1
2015-08-01 00:00:01,0,0,0
2015-09-01 00:00:01,0,0,0
2015-10-01 00:00:01,0,0,0
2015-11-01 00:00:01,0,0,0
2015-12-01 00:00:01,0,0,0
2016-01-01 00:00:01,0,0,0
2016-02-01 00:00:01,0,0,0
2016-03-01 00:00:01,48,1,0
2016-04-01 00:00:01,25,1,1
2016-05-01 00:00:01,2,0,0
2016-06-01 00:00:01,0,0,0
2016-07-01 00:00:01,26,2,8
2016-08-01 00:00:01,59,9,4
2016-09-01 00:00:01,211,29,27
2016-10-01 00:00:01,311,47,21
2016-11-01 00:00:01,12,2,0
2016-12-01 00:00:01,277,8,2
2017-01-01 00:00:01,278,29,7
2017-02-01 00:00:01,318,57,9
2017-03-01 00:00:01,43,3,3
2017-04-01 00:00:01,50,11,10
2017-05-01 00:00:01,254,31,23
2017-06-01 00:00:01,489,44,11
2017-07-01 00:00:01,0,0,0
